Source,Target,Type,Id,Label,timeset,Weight,pn
ASV0010,ASV0527,Undirected,0,NA,NA,1.698032,p
ASV0010,ASV1379,Undirected,1,NA,NA,1.718459,p
ASV0010,ASV1644,Undirected,2,NA,NA,1.713352,p
ASV0018,ASV0274,Undirected,3,NA,NA,1.80199,p
ASV0018,ASV0610,Undirected,4,NA,NA,1.609637,p
ASV0018,ASV0849,Undirected,5,NA,NA,1.745704,p
ASV0018,ASV0941,Undirected,6,NA,NA,1.706098,p
ASV0018,ASV0955,Undirected,7,NA,NA,1.614851,p
ASV0018,ASV1112,Undirected,8,NA,NA,1.616506,p
ASV0018,ASV1144,Undirected,9,NA,NA,1.744746,p
ASV0018,ASV1222,Undirected,10,NA,NA,1.763519,p
ASV0026,ASV0287,Undirected,11,NA,NA,1.633435,p
ASV0026,ASV0358,Undirected,12,NA,NA,1.991736,p
ASV0026,ASV0397,Undirected,13,NA,NA,2,p
ASV0026,ASV0621,Undirected,14,NA,NA,2,p
ASV0026,ASV0794,Undirected,15,NA,NA,1.991736,p
ASV0026,ASV0908,Undirected,16,NA,NA,1.991736,p
ASV0026,ASV0924,Undirected,17,NA,NA,1.670217,p
ASV0026,ASV1068,Undirected,18,NA,NA,2,p
ASV0026,ASV1402,Undirected,19,NA,NA,1.991736,p
ASV0026,ASV1599,Undirected,20,NA,NA,2,p
ASV0026,ASV1932,Undirected,21,NA,NA,2,p
ASV0026,ASV1971,Undirected,22,NA,NA,2,p
ASV0026,ASV2073,Undirected,23,NA,NA,1.991736,p
ASV0026,ASV2091,Undirected,24,NA,NA,2,p
ASV0030,ASV0274,Undirected,25,NA,NA,1.611286,p
ASV0030,ASV0325,Undirected,26,NA,NA,1.620482,p
ASV0030,ASV0497,Undirected,27,NA,NA,1.664184,p
ASV0030,ASV0610,Undirected,28,NA,NA,1.633342,p
ASV0030,ASV1112,Undirected,29,NA,NA,1.808336,p
ASV0030,ASV1657,Undirected,30,NA,NA,1.647726,p
ASV0037,ASV0142,Undirected,31,NA,NA,2,p
ASV0037,ASV1432,Undirected,32,NA,NA,2,p
ASV0046,ASV0245,Undirected,33,NA,NA,2,p
ASV0046,ASV0492,Undirected,34,NA,NA,2,p
ASV0046,ASV0508,Undirected,35,NA,NA,2,p
ASV0046,ASV0600,Undirected,36,NA,NA,1.670217,p
ASV0046,ASV0761,Undirected,37,NA,NA,1.670217,p
ASV0046,ASV0768,Undirected,38,NA,NA,2,p
ASV0046,ASV0949,Undirected,39,NA,NA,2,p
ASV0046,ASV0993,Undirected,40,NA,NA,1.991736,p
ASV0046,ASV1607,Undirected,41,NA,NA,2,p
ASV0046,ASV1612,Undirected,42,NA,NA,2,p
ASV0046,ASV1632,Undirected,43,NA,NA,1.991736,p
ASV0046,ASV1651,Undirected,44,NA,NA,2,p
ASV0046,ASV1921,Undirected,45,NA,NA,1.991736,p
ASV0046,ASV1998,Undirected,46,NA,NA,1.663315,p
ASV0046,ASV2055,Undirected,47,NA,NA,1.991736,p
ASV0046,ASV2115,Undirected,48,NA,NA,1.663315,p
ASV0047,ASV0309,Undirected,49,NA,NA,1.623225,p
ASV0047,ASV1131,Undirected,50,NA,NA,1.708536,p
ASV0077,ASV0298,Undirected,51,NA,NA,2,p
ASV0077,ASV0521,Undirected,52,NA,NA,1.663315,p
ASV0077,ASV0834,Undirected,53,NA,NA,2,p
ASV0077,ASV1304,Undirected,54,NA,NA,2,p
ASV0077,ASV1327,Undirected,55,NA,NA,1.991736,p
ASV0077,ASV1557,Undirected,56,NA,NA,1.991736,p
ASV0077,ASV1803,Undirected,57,NA,NA,1.991736,p
ASV0082,ASV0117,Undirected,58,NA,NA,1.670217,p
ASV0082,ASV0202,Undirected,59,NA,NA,1.670217,p
ASV0082,ASV0204,Undirected,60,NA,NA,1.663315,p
ASV0082,ASV0486,Undirected,61,NA,NA,1.991736,p
ASV0082,ASV0917,Undirected,62,NA,NA,2,p
ASV0082,ASV1491,Undirected,63,NA,NA,1.670217,p
ASV0082,ASV1653,Undirected,64,NA,NA,1.663315,p
ASV0082,ASV2084,Undirected,65,NA,NA,1.663315,p
ASV0095,ASV0255,Undirected,66,NA,NA,1.73963,p
ASV0095,ASV0389,Undirected,67,NA,NA,1.710892,p
ASV0095,ASV0833,Undirected,68,NA,NA,1.683797,p
ASV0095,ASV0872,Undirected,69,NA,NA,1.703856,p
ASV0095,ASV1145,Undirected,70,NA,NA,2,p
ASV0095,ASV1431,Undirected,71,NA,NA,1.667205,p
ASV0095,ASV1483,Undirected,72,NA,NA,1.703151,p
ASV0095,ASV1890,Undirected,73,NA,NA,1.711601,p
ASV0095,ASV2005,Undirected,74,NA,NA,1.954751,p
ASV0104,ASV0117,Undirected,75,NA,NA,1.982709,p
ASV0104,ASV0202,Undirected,76,NA,NA,1.982709,p
ASV0104,ASV0204,Undirected,77,NA,NA,1.976945,p
ASV0104,ASV0242,Undirected,78,NA,NA,1.618214,p
ASV0104,ASV0257,Undirected,79,NA,NA,1.994236,p
ASV0104,ASV0317,Undirected,80,NA,NA,1.670217,p
ASV0104,ASV0654,Undirected,81,NA,NA,1.994236,p
ASV0104,ASV0667,Undirected,82,NA,NA,1.670217,p
ASV0104,ASV0939,Undirected,83,NA,NA,2,p
ASV0104,ASV1182,Undirected,84,NA,NA,1.670217,p
ASV0104,ASV1309,Undirected,85,NA,NA,1.994236,p
ASV0104,ASV1486,Undirected,86,NA,NA,1.670217,p
ASV0104,ASV1491,Undirected,87,NA,NA,1.982709,p
ASV0104,ASV1652,Undirected,88,NA,NA,1.982709,p
ASV0104,ASV1653,Undirected,89,NA,NA,1.976945,p
ASV0104,ASV1666,Undirected,90,NA,NA,1.670217,p
ASV0104,ASV1760,Undirected,91,NA,NA,1.670217,p
ASV0104,ASV1771,Undirected,92,NA,NA,1.670217,p
ASV0104,ASV2000,Undirected,93,NA,NA,2,p
ASV0104,ASV2084,Undirected,94,NA,NA,1.976945,p
ASV0104,ASV2086,Undirected,95,NA,NA,1.663315,p
ASV0112,ASV2099,Undirected,96,NA,NA,1.991736,p
ASV0112,ASV2156,Undirected,97,NA,NA,2,p
ASV0117,ASV0202,Undirected,100,NA,NA,2,p
ASV0117,ASV0204,Undirected,101,NA,NA,1.994236,p
ASV0117,ASV0242,Undirected,102,NA,NA,1.618214,p
ASV0117,ASV0257,Undirected,103,NA,NA,1.994236,p
ASV0117,ASV0486,Undirected,104,NA,NA,1.663315,p
ASV0117,ASV0654,Undirected,105,NA,NA,1.994236,p
ASV0117,ASV0917,Undirected,106,NA,NA,1.670217,p
ASV0117,ASV0939,Undirected,107,NA,NA,1.982709,p
ASV0117,ASV1309,Undirected,108,NA,NA,1.976945,p
ASV0117,ASV1491,Undirected,109,NA,NA,2,p
ASV0117,ASV1652,Undirected,110,NA,NA,1.982709,p
ASV0117,ASV1653,Undirected,111,NA,NA,1.994236,p
ASV0117,ASV2000,Undirected,112,NA,NA,1.982709,p
ASV0117,ASV2084,Undirected,113,NA,NA,1.994236,p
ASV0121,ASV0714,Undirected,114,NA,NA,1.759985,p
ASV0123,ASV0799,Undirected,115,NA,NA,1.663315,p
ASV0123,ASV1399,Undirected,116,NA,NA,1.663315,p
ASV0123,ASV1543,Undirected,117,NA,NA,1.663315,p
ASV0123,ASV1733,Undirected,118,NA,NA,1.670217,p
ASV0123,ASV2165,Undirected,119,NA,NA,1.670217,p
ASV0123,ASV2193,Undirected,120,NA,NA,1.663315,p
ASV0132,ASV0497,Undirected,121,NA,NA,1.693419,p
ASV0132,ASV0941,Undirected,122,NA,NA,1.642115,p
ASV0132,ASV1222,Undirected,123,NA,NA,1.632575,p
ASV0132,ASV1341,Undirected,124,NA,NA,1.995859,p
ASV0132,ASV2159,Undirected,125,NA,NA,1.715832,p
ASV0142,ASV1432,Undirected,127,NA,NA,2,p
ASV0151,ASV0201,Undirected,128,NA,NA,1.977376,p
ASV0151,ASV0309,Undirected,129,NA,NA,1.80176,p
ASV0151,ASV0360,Undirected,130,NA,NA,1.959276,p
ASV0151,ASV0413,Undirected,131,NA,NA,1.977376,p
ASV0151,ASV0415,Undirected,132,NA,NA,1.998868,p
ASV0151,ASV0490,Undirected,133,NA,NA,1.687818,p
ASV0151,ASV0491,Undirected,134,NA,NA,1.992077,p
ASV0151,ASV0521,Undirected,135,NA,NA,1.649516,p
ASV0151,ASV0523,Undirected,136,NA,NA,1.973967,p
ASV0151,ASV0777,Undirected,137,NA,NA,1.968326,p
ASV0151,ASV0804,Undirected,138,NA,NA,1.621393,p
ASV0151,ASV0829,Undirected,139,NA,NA,1.964913,p
ASV0151,ASV0857,Undirected,140,NA,NA,1.9819,p
ASV0151,ASV0873,Undirected,141,NA,NA,1.99095,p
ASV0151,ASV1023,Undirected,142,NA,NA,1.959276,p
ASV0151,ASV1218,Undirected,143,NA,NA,1.818328,p
ASV0151,ASV1264,Undirected,144,NA,NA,1.818328,p
ASV0151,ASV1276,Undirected,145,NA,NA,1.618954,p
ASV0151,ASV1297,Undirected,146,NA,NA,1.985286,p
ASV0151,ASV1298,Undirected,147,NA,NA,1.973967,p
ASV0151,ASV1321,Undirected,148,NA,NA,1.985286,p
ASV0151,ASV1548,Undirected,149,NA,NA,1.977376,p
ASV0151,ASV1596,Undirected,150,NA,NA,1.707021,p
ASV0151,ASV1718,Undirected,151,NA,NA,1.985286,p
ASV0151,ASV1754,Undirected,152,NA,NA,1.810044,p
ASV0151,ASV1830,Undirected,153,NA,NA,1.973967,p
ASV0151,ASV1907,Undirected,154,NA,NA,1.691003,p
ASV0151,ASV1927,Undirected,155,NA,NA,1.99095,p
ASV0151,ASV1937,Undirected,156,NA,NA,2,p
ASV0151,ASV1967,Undirected,157,NA,NA,1.681318,p
ASV0151,ASV1980,Undirected,158,NA,NA,1.687818,p
ASV0151,ASV2031,Undirected,159,NA,NA,1.804686,p
ASV0151,ASV2064,Undirected,160,NA,NA,1.688366,p
ASV0151,ASV2068,Undirected,161,NA,NA,1.995475,p
ASV0151,ASV2120,Undirected,162,NA,NA,1.958121,p
ASV0151,ASV2151,Undirected,163,NA,NA,1.971704,p
ASV0155,ASV0442,Undirected,164,NA,NA,1.794472,p
ASV0155,ASV1596,Undirected,165,NA,NA,1.713968,p
ASV0155,ASV1861,Undirected,166,NA,NA,1.649076,p
ASV0155,ASV2082,Undirected,167,NA,NA,1.702235,p
ASV0173,ASV1942,Undirected,168,NA,NA,2,p
ASV0179,ASV0535,Undirected,169,NA,NA,2,p
ASV0179,ASV0668,Undirected,170,NA,NA,1.991736,p
ASV0187,ASV1149,Undirected,171,NA,NA,1.832214,p
ASV0201,ASV0309,Undirected,173,NA,NA,1.793476,p
ASV0201,ASV0360,Undirected,174,NA,NA,1.986425,p
ASV0201,ASV0413,Undirected,175,NA,NA,1.954751,p
ASV0201,ASV0415,Undirected,176,NA,NA,1.973967,p
ASV0201,ASV0491,Undirected,177,NA,NA,1.994341,p
ASV0201,ASV0521,Undirected,178,NA,NA,1.772081,p
ASV0201,ASV0523,Undirected,179,NA,NA,1.958121,p
ASV0201,ASV0777,Undirected,180,NA,NA,1.959276,p
ASV0201,ASV0804,Undirected,181,NA,NA,1.610376,p
ASV0201,ASV0829,Undirected,182,NA,NA,1.962649,p
ASV0201,ASV0857,Undirected,183,NA,NA,1.986425,p
ASV0201,ASV0873,Undirected,184,NA,NA,1.959276,p
ASV0201,ASV1023,Undirected,185,NA,NA,1.986425,p
ASV0201,ASV1218,Undirected,186,NA,NA,1.805902,p
ASV0201,ASV1264,Undirected,187,NA,NA,1.826612,p
ASV0201,ASV1297,Undirected,188,NA,NA,1.958121,p
ASV0201,ASV1298,Undirected,189,NA,NA,1.958121,p
ASV0201,ASV1321,Undirected,190,NA,NA,1.992077,p
ASV0201,ASV1548,Undirected,191,NA,NA,2,p
ASV0201,ASV1596,Undirected,192,NA,NA,1.703151,p
ASV0201,ASV1718,Undirected,193,NA,NA,1.980759,p
ASV0201,ASV1754,Undirected,194,NA,NA,1.830754,p
ASV0201,ASV1830,Undirected,195,NA,NA,1.958121,p
ASV0201,ASV1907,Undirected,196,NA,NA,1.698751,p
ASV0201,ASV1927,Undirected,197,NA,NA,1.959276,p
ASV0201,ASV1937,Undirected,198,NA,NA,1.977376,p
ASV0201,ASV1967,Undirected,199,NA,NA,1.679381,p
ASV0201,ASV2031,Undirected,200,NA,NA,1.79847,p
ASV0201,ASV2064,Undirected,201,NA,NA,1.674813,p
ASV0201,ASV2068,Undirected,202,NA,NA,1.99095,p
ASV0201,ASV2103,Undirected,203,NA,NA,1.60794,p
ASV0201,ASV2120,Undirected,204,NA,NA,1.971704,p
ASV0201,ASV2151,Undirected,205,NA,NA,1.976231,p
ASV0202,ASV0204,Undirected,209,NA,NA,1.994236,p
ASV0202,ASV0242,Undirected,210,NA,NA,1.618214,p
ASV0202,ASV0257,Undirected,211,NA,NA,1.994236,p
ASV0202,ASV0486,Undirected,212,NA,NA,1.663315,p
ASV0202,ASV0654,Undirected,213,NA,NA,1.994236,p
ASV0202,ASV0917,Undirected,214,NA,NA,1.670217,p
ASV0202,ASV0939,Undirected,215,NA,NA,1.982709,p
ASV0202,ASV1309,Undirected,216,NA,NA,1.976945,p
ASV0202,ASV1491,Undirected,217,NA,NA,2,p
ASV0202,ASV1652,Undirected,218,NA,NA,1.982709,p
ASV0202,ASV1653,Undirected,219,NA,NA,1.994236,p
ASV0202,ASV2000,Undirected,220,NA,NA,1.982709,p
ASV0202,ASV2084,Undirected,221,NA,NA,1.994236,p
ASV0204,ASV0242,Undirected,226,NA,NA,1.60886,p
ASV0204,ASV0257,Undirected,227,NA,NA,1.982709,p
ASV0204,ASV0486,Undirected,228,NA,NA,1.670217,p
ASV0204,ASV0654,Undirected,229,NA,NA,1.982709,p
ASV0204,ASV0917,Undirected,230,NA,NA,1.663315,p
ASV0204,ASV0939,Undirected,231,NA,NA,1.976945,p
ASV0204,ASV1309,Undirected,232,NA,NA,1.982709,p
ASV0204,ASV1491,Undirected,233,NA,NA,1.994236,p
ASV0204,ASV1652,Undirected,234,NA,NA,1.994236,p
ASV0204,ASV1653,Undirected,235,NA,NA,2,p
ASV0204,ASV2000,Undirected,236,NA,NA,1.976945,p
ASV0204,ASV2084,Undirected,237,NA,NA,2,p
ASV0242,ASV0257,Undirected,242,NA,NA,1.622891,p
ASV0242,ASV0654,Undirected,243,NA,NA,1.622891,p
ASV0242,ASV0939,Undirected,244,NA,NA,1.618214,p
ASV0242,ASV1309,Undirected,245,NA,NA,1.60886,p
ASV0242,ASV1491,Undirected,246,NA,NA,1.618214,p
ASV0242,ASV1652,Undirected,247,NA,NA,1.604184,p
ASV0242,ASV1653,Undirected,248,NA,NA,1.60886,p
ASV0242,ASV2000,Undirected,249,NA,NA,1.618214,p
ASV0242,ASV2084,Undirected,250,NA,NA,1.60886,p
ASV0245,ASV0492,Undirected,252,NA,NA,2,p
ASV0245,ASV0508,Undirected,253,NA,NA,2,p
ASV0245,ASV0600,Undirected,254,NA,NA,1.670217,p
ASV0245,ASV0761,Undirected,255,NA,NA,1.670217,p
ASV0245,ASV0768,Undirected,256,NA,NA,2,p
ASV0245,ASV0949,Undirected,257,NA,NA,2,p
ASV0245,ASV0993,Undirected,258,NA,NA,1.991736,p
ASV0245,ASV1607,Undirected,259,NA,NA,2,p
ASV0245,ASV1612,Undirected,260,NA,NA,2,p
ASV0245,ASV1632,Undirected,261,NA,NA,1.991736,p
ASV0245,ASV1651,Undirected,262,NA,NA,2,p
ASV0245,ASV1921,Undirected,263,NA,NA,1.991736,p
ASV0245,ASV1998,Undirected,264,NA,NA,1.663315,p
ASV0245,ASV2055,Undirected,265,NA,NA,1.991736,p
ASV0245,ASV2115,Undirected,266,NA,NA,1.663315,p
ASV0255,ASV0389,Undirected,268,NA,NA,1.822996,p
ASV0255,ASV0833,Undirected,269,NA,NA,1.851342,p
ASV0255,ASV0872,Undirected,270,NA,NA,1.808686,p
ASV0255,ASV1145,Undirected,271,NA,NA,1.73963,p
ASV0255,ASV1146,Undirected,272,NA,NA,1.616386,p
ASV0255,ASV1431,Undirected,273,NA,NA,1.774559,p
ASV0255,ASV1483,Undirected,274,NA,NA,1.789335,p
ASV0255,ASV1890,Undirected,275,NA,NA,1.805141,p
ASV0255,ASV2005,Undirected,276,NA,NA,1.785192,p
ASV0255,ASV2060,Undirected,277,NA,NA,1.642971,p
ASV0255,ASV2187,Undirected,278,NA,NA,1.601543,p
ASV0257,ASV0317,Undirected,284,NA,NA,1.663315,p
ASV0257,ASV0654,Undirected,285,NA,NA,2,p
ASV0257,ASV0667,Undirected,286,NA,NA,1.663315,p
ASV0257,ASV0939,Undirected,287,NA,NA,1.994236,p
ASV0257,ASV1182,Undirected,288,NA,NA,1.663315,p
ASV0257,ASV1309,Undirected,289,NA,NA,1.982709,p
ASV0257,ASV1486,Undirected,290,NA,NA,1.663315,p
ASV0257,ASV1491,Undirected,291,NA,NA,1.994236,p
ASV0257,ASV1652,Undirected,292,NA,NA,1.976945,p
ASV0257,ASV1653,Undirected,293,NA,NA,1.982709,p
ASV0257,ASV1666,Undirected,294,NA,NA,1.663315,p
ASV0257,ASV1760,Undirected,295,NA,NA,1.663315,p
ASV0257,ASV1771,Undirected,296,NA,NA,1.663315,p
ASV0257,ASV2000,Undirected,297,NA,NA,1.994236,p
ASV0257,ASV2084,Undirected,298,NA,NA,1.982709,p
ASV0257,ASV2086,Undirected,299,NA,NA,1.670217,p
ASV0264,ASV2138,Undirected,300,NA,NA,2,p
ASV0274,ASV0530,Undirected,303,NA,NA,1.663325,p
ASV0274,ASV0610,Undirected,304,NA,NA,1.66043,p
ASV0274,ASV0776,Undirected,305,NA,NA,1.73474,p
ASV0274,ASV0849,Undirected,306,NA,NA,1.667403,p
ASV0274,ASV0941,Undirected,307,NA,NA,1.839737,p
ASV0274,ASV1016,Undirected,308,NA,NA,1.632482,p
ASV0274,ASV1118,Undirected,309,NA,NA,1.792831,p
ASV0274,ASV1144,Undirected,310,NA,NA,1.851567,p
ASV0274,ASV1222,Undirected,311,NA,NA,1.788077,p
ASV0274,ASV1248,Undirected,312,NA,NA,1.650617,p
ASV0274,ASV1367,Undirected,313,NA,NA,1.67266,p
ASV0274,ASV1746,Undirected,314,NA,NA,1.616553,p
ASV0274,ASV2019,Undirected,315,NA,NA,1.690121,p
ASV0287,ASV0358,Undirected,317,NA,NA,1.623075,p
ASV0287,ASV0397,Undirected,318,NA,NA,1.633435,p
ASV0287,ASV0615,Undirected,319,NA,NA,1.635375,p
ASV0287,ASV0621,Undirected,320,NA,NA,1.633435,p
ASV0287,ASV0794,Undirected,321,NA,NA,1.623075,p
ASV0287,ASV0908,Undirected,322,NA,NA,1.623075,p
ASV0287,ASV0924,Undirected,323,NA,NA,1.998559,p
ASV0287,ASV1068,Undirected,324,NA,NA,1.633435,p
ASV0287,ASV1402,Undirected,325,NA,NA,1.623075,p
ASV0287,ASV1599,Undirected,326,NA,NA,1.633435,p
ASV0287,ASV1932,Undirected,327,NA,NA,1.633435,p
ASV0287,ASV1971,Undirected,328,NA,NA,1.633435,p
ASV0287,ASV2073,Undirected,329,NA,NA,1.623075,p
ASV0287,ASV2091,Undirected,330,NA,NA,1.633435,p
ASV0296,ASV1998,Undirected,331,NA,NA,1.718459,p
ASV0298,ASV0521,Undirected,333,NA,NA,1.663315,p
ASV0298,ASV0834,Undirected,334,NA,NA,2,p
ASV0298,ASV1304,Undirected,335,NA,NA,2,p
ASV0298,ASV1327,Undirected,336,NA,NA,1.991736,p
ASV0298,ASV1557,Undirected,337,NA,NA,1.991736,p
ASV0298,ASV1803,Undirected,338,NA,NA,1.991736,p
ASV0309,ASV0360,Undirected,342,NA,NA,1.805902,p
ASV0309,ASV0413,Undirected,343,NA,NA,1.826612,p
ASV0309,ASV0415,Undirected,344,NA,NA,1.804852,p
ASV0309,ASV0491,Undirected,345,NA,NA,1.792419,p
ASV0309,ASV0523,Undirected,346,NA,NA,1.829718,p
ASV0309,ASV0777,Undirected,347,NA,NA,1.82247,p
ASV0309,ASV0804,Undirected,348,NA,NA,1.698493,p
ASV0309,ASV0829,Undirected,349,NA,NA,1.825573,p
ASV0309,ASV0857,Undirected,350,NA,NA,1.793476,p
ASV0309,ASV0873,Undirected,351,NA,NA,1.818328,p
ASV0309,ASV1023,Undirected,352,NA,NA,1.814186,p
ASV0309,ASV1131,Undirected,353,NA,NA,1.77263,p
ASV0309,ASV1218,Undirected,354,NA,NA,1.63128,p
ASV0309,ASV1264,Undirected,355,NA,NA,1.619905,p
ASV0309,ASV1297,Undirected,356,NA,NA,1.823501,p
ASV0309,ASV1298,Undirected,357,NA,NA,1.825573,p
ASV0309,ASV1321,Undirected,358,NA,NA,1.792419,p
ASV0309,ASV1548,Undirected,359,NA,NA,1.793476,p
ASV0309,ASV1597,Undirected,360,NA,NA,1.655566,p
ASV0309,ASV1718,Undirected,361,NA,NA,1.815213,p
ASV0309,ASV1754,Undirected,362,NA,NA,1.623697,p
ASV0309,ASV1830,Undirected,363,NA,NA,1.829718,p
ASV0309,ASV1927,Undirected,364,NA,NA,1.818328,p
ASV0309,ASV1937,Undirected,365,NA,NA,1.80176,p
ASV0309,ASV1975,Undirected,366,NA,NA,1.701015,p
ASV0309,ASV2031,Undirected,367,NA,NA,1.65671,p
ASV0309,ASV2068,Undirected,368,NA,NA,1.793476,p
ASV0309,ASV2120,Undirected,369,NA,NA,1.823501,p
ASV0309,ASV2151,Undirected,370,NA,NA,1.806924,p
ASV0310,ASV0550,Undirected,371,NA,NA,2,p
ASV0310,ASV0638,Undirected,372,NA,NA,1.991736,p
ASV0310,ASV1015,Undirected,373,NA,NA,2,p
ASV0310,ASV1375,Undirected,374,NA,NA,2,p
ASV0310,ASV1379,Undirected,375,NA,NA,1.663315,p
ASV0310,ASV1591,Undirected,376,NA,NA,2,p
ASV0310,ASV1644,Undirected,377,NA,NA,1.670217,p
ASV0310,ASV1871,Undirected,378,NA,NA,1.991736,p
ASV0310,ASV1981,Undirected,379,NA,NA,1.991736,p
ASV0310,ASV2157,Undirected,380,NA,NA,2,p
ASV0317,ASV0654,Undirected,383,NA,NA,1.663315,p
ASV0317,ASV0667,Undirected,384,NA,NA,2,p
ASV0317,ASV0939,Undirected,385,NA,NA,1.670217,p
ASV0317,ASV1182,Undirected,386,NA,NA,2,p
ASV0317,ASV1486,Undirected,387,NA,NA,2,p
ASV0317,ASV1666,Undirected,388,NA,NA,2,p
ASV0317,ASV1760,Undirected,389,NA,NA,2,p
ASV0317,ASV1771,Undirected,390,NA,NA,2,p
ASV0317,ASV2000,Undirected,391,NA,NA,1.670217,p
ASV0317,ASV2086,Undirected,392,NA,NA,1.991736,p
ASV0325,ASV0530,Undirected,394,NA,NA,1.732086,p
ASV0325,ASV0575,Undirected,395,NA,NA,1.670708,p
ASV0325,ASV0604,Undirected,396,NA,NA,1.658656,p
ASV0325,ASV0610,Undirected,397,NA,NA,1.636552,p
ASV0325,ASV0884,Undirected,398,NA,NA,1.635982,p
ASV0325,ASV0941,Undirected,399,NA,NA,1.601649,p
ASV0325,ASV1118,Undirected,400,NA,NA,1.626314,p
ASV0325,ASV1121,Undirected,401,NA,NA,1.611954,p
ASV0325,ASV1144,Undirected,402,NA,NA,1.654427,p
ASV0325,ASV1391,Undirected,403,NA,NA,1.645097,p
ASV0325,ASV1657,Undirected,404,NA,NA,1.923315,p
ASV0330,ASV0555,Undirected,405,NA,NA,1.962649,p
ASV0330,ASV0558,Undirected,406,NA,NA,1.958121,p
ASV0330,ASV0575,Undirected,407,NA,NA,1.675067,p
ASV0330,ASV0600,Undirected,408,NA,NA,1.741148,p
ASV0330,ASV0604,Undirected,409,NA,NA,1.67894,p
ASV0330,ASV0761,Undirected,410,NA,NA,1.741148,p
ASV0330,ASV0807,Undirected,411,NA,NA,1.998868,p
ASV0330,ASV0812,Undirected,412,NA,NA,1.998868,p
ASV0330,ASV0972,Undirected,413,NA,NA,1.958121,p
ASV0330,ASV1071,Undirected,414,NA,NA,1.60178,p
ASV0330,ASV1391,Undirected,415,NA,NA,1.688623,p
ASV0330,ASV1647,Undirected,416,NA,NA,1.971704,p
ASV0330,ASV1923,Undirected,417,NA,NA,1.969422,p
ASV0347,ASV1019,Undirected,418,NA,NA,2,p
ASV0353,ASV0355,Undirected,419,NA,NA,1.991736,p
ASV0353,ASV0490,Undirected,420,NA,NA,1.670217,p
ASV0353,ASV0517,Undirected,421,NA,NA,2,p
ASV0353,ASV1106,Undirected,422,NA,NA,2,p
ASV0353,ASV1170,Undirected,423,NA,NA,1.991736,p
ASV0353,ASV1980,Undirected,424,NA,NA,1.670217,p
ASV0355,ASV0490,Undirected,426,NA,NA,1.663315,p
ASV0355,ASV0517,Undirected,427,NA,NA,1.991736,p
ASV0355,ASV1106,Undirected,428,NA,NA,1.991736,p
ASV0355,ASV1170,Undirected,429,NA,NA,2,p
ASV0355,ASV1980,Undirected,430,NA,NA,1.663315,p
ASV0358,ASV0397,Undirected,433,NA,NA,1.991736,p
ASV0358,ASV0621,Undirected,434,NA,NA,1.991736,p
ASV0358,ASV0794,Undirected,435,NA,NA,2,p
ASV0358,ASV0908,Undirected,436,NA,NA,2,p
ASV0358,ASV0924,Undirected,437,NA,NA,1.663315,p
ASV0358,ASV1068,Undirected,438,NA,NA,1.991736,p
ASV0358,ASV1402,Undirected,439,NA,NA,2,p
ASV0358,ASV1599,Undirected,440,NA,NA,1.991736,p
ASV0358,ASV1932,Undirected,441,NA,NA,1.991736,p
ASV0358,ASV1971,Undirected,442,NA,NA,1.991736,p
ASV0358,ASV2073,Undirected,443,NA,NA,2,p
ASV0358,ASV2091,Undirected,444,NA,NA,1.991736,p
ASV0360,ASV0413,Undirected,448,NA,NA,1.968326,p
ASV0360,ASV0415,Undirected,449,NA,NA,1.962649,p
ASV0360,ASV0490,Undirected,450,NA,NA,1.654623,p
ASV0360,ASV0491,Undirected,451,NA,NA,1.976231,p
